,business,cluster
15316,--0zrn43LEaB4jUWTQH_Bg,0
1985,--164t1nclzzmca7eDiJMw,2
20271,--JKSSgnfoOjVDFGv692BA,5
1103,--jtHbM1FC1WOXIH9z9grw,0
15984,--kK4a5ggLXioTc4KrWoig,0
20822,--kyOk0waSrCDlbSvYtAOw,2
700,--lXp7qjUuniGt3n-Y1omg,3
2234,--z9usx6Fin8P_f0vc7DGQ,0
3889,-0A86fDFiobID2BUcwsobA,0
24,-0AVYSnp6IZtsm6QFeGIdw,0
17290,-0JqIfHGcXwwGFtsmh8-YQ,2
17549,-0Msj-7KAVIHkYtUyF9uTA,0
12802,-0P5rq9DlJgXnfB320Fx9w,2
19946,-0RFFcd-ikYfOlApRCXjjQ,4
14237,-0TbQsmE2p1bhG30rgvK2Q,2
5375,-0U6xz5cKY1PB_TJhKiCVw,0
20514,-0VWVZklLiOSvxNHIweLFw,0
16954,-0pSig1ffET5-fr3p4LkWg,1
11830,-0wZIJnbYSstEGj3uXTmmA,0
13303,-1DIPWW06Jq0fz_WtE_4XQ,3
16919,-1MPtMyI3q8d6y6_41plfg,0
1781,-1ShItlulHnBsoOQWnblzw,2
18899,-1XOUWwxeSAVdtuXuP9twg,2
11668,-1jhQQ-SqTJO6tgSB3cDUw,0
11753,-25rId9Q9MzMru_s-q-sUg,1
14534,-2HO6CEgR80_QQTpgq0Bwg,0
8036,-2_lWE1UdAIq1u9ttyTTnA,0
11145,-384bwLp3FoesKs7cykFvw,3
11037,-3H3oRyCbLuGHVVdqj3ZLQ,0
19815,-3IpfHjAzlNLCuquRo2XBA,3
19236,-3YYCF-5TjIxoNZhvT9CXA,2
9137,-3acW5LlqnOF1g6duhylxg,0
16821,-4D2bcc3fwQ3kkubHf5FJQ,3
1053,-4SfHHiTVTLeOEt8TF0nTQ,0
8188,-4bP1UUgpZumIu6DZMaMzw,2
22331,-4cQ12xutjNLW-tPI06_tg,2
13426,-4ofMtrD7pSpZIX5pnDkig,2
3731,-4vje_aP1IxKIbX7vaiXVQ,0
11827,-4w-nhjSFj0hsLkHlujU7Q,4
3426,-5G8ujs_p2Ir1u6sNH4N-A,5
2142,-5GWUaDgAjIR7wob2SlvxA,0
20288,-5hvwiZt0zB__cW-fUA1aw,0
17978,-5ufVVY-hsP_52MxJRsRnA,2
3591,-5xwBIiLWXFHc_yywp_vXQ,4
9820,-6CWMZMl_4_RJ8Zzq_6WgA,2
4279,-6EoOHhsnlY-69ZWc2D9LQ,4
20245,-6jyv1mP9OnOxR_5sKIVkw,5
16167,-6ln8kJb33laf2gMFVnkMg,0
15910,-6obgh8LkS9L0Ww1zHdTNg,2
