,business,cluster
0,N3_Gs3DnX4k9SgpwJxdEfw,5
1,tXvdYGvlEceDljN8gt2_3Q,4
2,nTIhpR7MhsALPwg_Hh14EA,5
3,8XyEpVdAO0o6iVkVxkWosQ,1
4,NVfOn7TdnHbaGH97CVB_Qg,4
5,Xw8tuI30T-xihpzwBV-zJg,1
6,s8eTWEtW5WcnL2kUxrOVmw,0
7,NRPemqVb4qpWFF0Avq_6OQ,4
8,XymxusqpIsZFmN_QNQW_fw,1
9,Nhw7on5kevbomM-GzRXy_A,1
10,bRsDZ44CD3uhGnRY3NeQhQ,0
11,z-0oY7VxQMQw3JHvdPejrA,1
12,MEC2RzMZwPxzz_9rr0Cpog,4
13,gjMCRTs0IZbw9bZLG837Bg,1
14,Z4UNrp2VpqiEuc39eDsjdg,3
15,AzAT-AWII5PJVPIGB37tGQ,0
16,qTdz29Nf3zoALiDDEKfWlw,1
17,zcSOyUPQopa6f8MU_cdNGA,4
18,0GMFteLQFzUogXFK9STGtA,5
19,ipsTYb3c_OcuzmZZyhWh3w,5
20,mHryNAZtrclEGwnBNfQWNQ,0
21,0Q7svPlpg8YOy_mzsr6vww,4
22,n4dg97jn6hYFLgFq_Mlkqw,0
23,pewcbd-NCgj1LXJNifFA4g,1
24,-0AVYSnp6IZtsm6QFeGIdw,1
25,c7SpDCrvkoFWOsMQH1gmkQ,0
26,Pk4ZwXwUU50BDn5gqw_rKg,4
27,A40p61gnz_7orVAr9YYHPg,1
28,p9_tl3SckaGUjToGCz2frA,1
29,1-UieVZg_JBMq92xhF633A,0
30,3DFvutUSvHebYJ0Lb1oW6g,4
31,nyQlAZJwQX052OG5jes2CQ,5
32,Ieelu69Y23nbjKG3OGfwnw,4
33,IFB2K3BEZ2L_Mv5AbUD26Q,1
34,fBvQQUk1-V9IUA8PbuYFWg,1
35,k435gqoMV8HZTAqc1TaEpg,0
36,LjQ_z_eYTvbPkdnxD_Ucrw,0
37,LN1KLqHfhhR76FAZlRGTbw,0
38,UbP_JuB-zHHfLz2dvKe9yw,1
39,3iUsG46B1r-BONbfd16eYQ,4
40,qCV6-kUn5YbyCIWrBhivbA,5
41,f-V-TUuLsw9HIC07q8vLFw,5
42,pRHHVhwKI6dh_LFCQETysA,3
43,J7KvI94QUxab29LLeG6bew,3
44,nX3ypIx_Li7ZTXmzSr3kGQ,4
45,XC7F87UsL4WYEAb4bFsySg,4
46,AzLtjMpwuGGZ1bWbE2XC8A,1
47,eOnMGfoj3YOxGPDjrDE-sg,0
48,F0n25o5lpaFJpEW8DFS8Ww,3
49,owJ_0-9YBYfy40YD7l_KSA,1
50,Xfg6HIaqB5CzR8v5_0XpRg,0
51,e3SRzV_dN_t5ZQW9TtK1qQ,1
52,q1ahAU8s0Jr_zO-K0kl16g,1
53,oRIyL281Ov5SSb6PyuWvaw,1
54,xaO75FONLcaJfymXuKIVnQ,1
55,Icy57ClES-kBwt_l5pufYA,0
56,-ntGRFLfW264UwZTuX9N0Q,5
57,TDxyi0IIrmKqcJ3cdn1QSg,3
58,CDHhzefl1AQ1FqGADr8fow,0
59,guYnW-MrSjajUqveIl4zIw,4
60,7gQHCKoBzkH6NIJcpcDBbQ,0
61,RG14VD07mNN-oXeTAYB8Fg,1
62,Om5_EJ6OKzF1TQUNMy_21w,0
63,XCyX0tFg0HKi_xILMDO1vg,1
64,qp0XQcIxIT9PtYbcoT6PqA,3
65,9AQ1io2V6_AXM5Yo_H337A,5
66,0SFalTi9ctaTD8SG2-r_UA,5
67,splo-B5sr3mRmbRY0O-_HQ,5
68,fDagm540ieAAh5G9LA27Yg,0
69,K5M7eDkRXtSc_oPS5gryFw,5
70,t4Fd0eafK2KWFkV-afxxPA,0
71,RJSsnPCuD590TgAOx_MYsQ,0
72,ZEEDCAxJ71X-BT-Azk1VDA,3
73,1Sq21W65_nFPQWq8QZimvg,4
74,kTeiieBa9fVcYpo3diw_6Q,0
75,DpHPj1fhm-YJd0VtuMcqZA,4
76,qbnnaCEVqTevK6hgrFw5Kw,1
