,business,cluster
14938,--0zrn43LEaB4jUWTQH_Bg,1
275,--164t1nclzzmca7eDiJMw,5
21218,--JKSSgnfoOjVDFGv692BA,1
2049,--jtHbM1FC1WOXIH9z9grw,0
16187,--kK4a5ggLXioTc4KrWoig,3
21235,--kyOk0waSrCDlbSvYtAOw,3
226,--lXp7qjUuniGt3n-Y1omg,2
1947,--z9usx6Fin8P_f0vc7DGQ,0
4188,-0A86fDFiobID2BUcwsobA,0
1932,-0AVYSnp6IZtsm6QFeGIdw,0
16361,-0JqIfHGcXwwGFtsmh8-YQ,3
16686,-0Msj-7KAVIHkYtUyF9uTA,1
13172,-0P5rq9DlJgXnfB320Fx9w,5
19254,-0RFFcd-ikYfOlApRCXjjQ,4
14099,-0TbQsmE2p1bhG30rgvK2Q,3
4883,-0U6xz5cKY1PB_TJhKiCVw,1
20949,-0VWVZklLiOSvxNHIweLFw,1
17641,-0pSig1ffET5-fr3p4LkWg,0
12621,-0wZIJnbYSstEGj3uXTmmA,0
11899,-1DIPWW06Jq0fz_WtE_4XQ,0
15803,-1MPtMyI3q8d6y6_41plfg,3
115,-1ShItlulHnBsoOQWnblzw,5
19936,-1XOUWwxeSAVdtuXuP9twg,5
11612,-1jhQQ-SqTJO6tgSB3cDUw,1
12175,-25rId9Q9MzMru_s-q-sUg,3
14852,-2HO6CEgR80_QQTpgq0Bwg,0
8539,-2_lWE1UdAIq1u9ttyTTnA,3
10181,-384bwLp3FoesKs7cykFvw,2
9122,-3H3oRyCbLuGHVVdqj3ZLQ,0
19973,-3IpfHjAzlNLCuquRo2XBA,0
18662,-3YYCF-5TjIxoNZhvT9CXA,5
9837,-3acW5LlqnOF1g6duhylxg,0
16269,-4D2bcc3fwQ3kkubHf5FJQ,2
895,-4SfHHiTVTLeOEt8TF0nTQ,0
6964,-4bP1UUgpZumIu6DZMaMzw,3
20889,-4cQ12xutjNLW-tPI06_tg,5
13382,-4ofMtrD7pSpZIX5pnDkig,3
3917,-4vje_aP1IxKIbX7vaiXVQ,1
13032,-4w-nhjSFj0hsLkHlujU7Q,1
3972,-5G8ujs_p2Ir1u6sNH4N-A,1
869,-5GWUaDgAjIR7wob2SlvxA,0
22091,-5hvwiZt0zB__cW-fUA1aw,0
18705,-5ufVVY-hsP_52MxJRsRnA,3
3775,-5xwBIiLWXFHc_yywp_vXQ,0
9548,-6CWMZMl_4_RJ8Zzq_6WgA,5
2870,-6EoOHhsnlY-69ZWc2D9LQ,4
20492,-6jyv1mP9OnOxR_5sKIVkw,1
16988,-6ln8kJb33laf2gMFVnkMg,0
16120,-6obgh8LkS9L0Ww1zHdTNg,5
9958,-7JVppZPBn46UHoZyZsYLw,3
16456,-7WSQ61JkOJWepvdyA1TNQ,0
11269,-85pDrVcAdzNK55bFpintg,5
5144,-88RrZSFvEllQFH7GF-C8g,5
21202,-8CMh5ENKz6LhcucjzBP4g,0
1482,-8LDoPjHsg6QM1djzneCTw,5
12964,-8MhEiQ0CXXQGIBC4EYpvw,4
5008,-8N16tYqXP-ixDDzwDoVnA,3
8100,-8Saw7TsFVbUbqJBZmmEQQ,3
20000,-97qeqOoQW6rc-kDsI_5-Q,1
15764,-98MS461K-OFyc7VuRArsw,3
16613,-99tu4eb_0WXerKLC9Zymg,5
15832,-9AvnD18wM_E7dR68dJWNg,5
20555,-9GunsagWEkoxOpxIX2feQ,5
18631,-9H6DJKH2BlvM7tb0MxxCg,4
10282,-9XPSKynOMSbz7pqpQJstw,5
12390,-9d4qQ7S7B0xlgxjvI-eIw,0
10604,-9fVQGIPeMG339yn2v-FZg,3
16219,-9s9AxE4SazLHMebFEfthw,5
17209,-A5Osimy834M_BPOpgny-Q,1
20313,-AMbae1vfc9DidQrI9q27w,1
2877,-A_VzQS6D9_Ol5cLtrK2uA,0
9840,-AhRoc1XY2hhfckNnc6dAw,3
16809,-B7FSfGvyIgbuANlVWMtIw,5
8850,-BBHfQBgBD1BA5wzVui86Q,5
15809,-BBSLCjzw3i2PHuwJ_dabA,5
18889,-BJv0Kdrf1xjdsI0bZA79Q,0
4954,-BWhtKdXLQcclx-DGgvrbw,3
5238,-BlnFV0FhH07GcLTYBBQoQ,1
8431,-BngK7oD1niOGHDAiYthow,4
215,-BoKMBBMYgdIPCnk_eVX9Q,3
2811,-BrxSRARQ2c7P4OipsGx4A,4
6742,-Bw6GFPBWBN2Td6QXfAPCA,3
7848,-CWzPFPncpafgT3IVZhtpg,4
7022,-Ce8p148xb0-4dv_3zwm3A,5
11049,-Cza7JtBZZ7nuXZeStwPAA,1
16765,-D4gDqE7XKLiLqY9uZQ0mA,0
13674,-DeoafeWHFwpMlfCYCtLXw,1
3184,-DnLndF_TFvgJzyFD1Z6XA,1
16802,-DyavTFSObMTR7PS8BdZyg,3
1128,-Dz3a6c0lxdVla1v0yI1uA,1
10185,-E2_0CSCFoz6Ql6iyDp7Iw,0
17231,-ED6173Uda-AiAWqEHIhuA,3
12266,-EH1w8ZmgwfomE-GzegfgA,0
19664,-EOVoUXzyFUncTA2Y18HgQ,0
16525,-E_2TqJ9qVuqBwtHsr6IQw,0
20109,-Eae0oeAMKBRaUM3j_rFbg,4
1260,-EnVWkWbGgWE8y4mCvAlBw,3
10882,-Et0WED21LcwLLsUEzekow,0
15562,-EvlAFyPYpOfDfLkGbH4Qg,5
9428,-Ewh6f05-vhIlXdXbkdsbA,1
20331,-F4pgQy3hmNU6tTSRh41yA,3
10027,-FW2SqI_OzujJLc8tDyOzA,5
11252,-FWA5mKrFKhNa4XhUuh5ng,3
